M, A, D, T, LA, HA, LB, HB, LG, MG
67.0, 66.0, 60856.0, 86066.0, 15727.0, 4789.0, 11595.0, 9935.0, 10258.0, 6010.0
74.0, 63.0, 12043.0, 9936.0, 13162.0, 5267.0, 1053.0, 9442.0, 6217.0, 3758.0
88.0, 57.0, 10302.0, 10028.0, 9007.0, 15947.0, 5430.0, 7732.0, 8152.0, 3577.0
88.0, 61.0, 6328.0, 6142.0, 6985.0, 6368.0, 4552.0, 7068.0, 7593.0, 3275.0
100.0, 75.0, 13219.0, 3488.0, 5822.0, 4780.0, 6171.0, 8676.0, 4858.0, 4306.0
81.0, 81.0, 11213.0, 10463.0, 1735.0, 3595.0, 6605.0, 12859.0, 2379.0, 6033.0
77.0, 83.0, 34203.0, 12851.0, 16637.0, 10771.0, 14101.0, 13264.0, 4100.0, 5367.0
74.0, 83.0, 21693.0, 12562.0, 2620.0, 11072.0, 3676.0, 8117.0, 2455.0, 5229.0
61.0, 67.0, 280398.0, 88575.0, 9066.0, 13682.0, 2344.0, 9048.0, 6192.0, 7435.0
77.0, 61.0, 47435.0, 20363.0, 14379.0, 10397.0, 9448.0, 13482.0, 3253.0, 5953.0
61.0, 69.0, 129122.0, 8374.0, 3123.0, 2014.0, 5397.0, 12554.0, 3590.0, 10755.0
56.0, 61.0, 24709.0, 89577.0, 36443.0, 13718.0, 21945.0, 14468.0, 4086.0, 3200.0
66.0, 63.0, 22580.0, 49164.0, 13500.0, 20613.0, 11119.0, 9383.0, 7574.0, 5686.0
78.0, 61.0, 18196.0, 6665.0, 19418.0, 4373.0, 2249.0, 6123.0, 4326.0, 2221.0
78.0, 50.0, 921.0, 15215.0, 1431.0, 3081.0, 2310.0, 3332.0, 3613.0, 4687.0
74.0, 48.0, 59659.0, 34056.0, 4678.0, 5696.0, 3344.0, 3607.0, 1681.0, 805.0
64.0, 57.0, 141132.0, 7781.0, 3879.0, 794.0, 2949.0, 6641.0, 2738.0, 1463.0
41.0, 63.0, 88086.0, 19926.0, 3620.0, 2539.0, 2095.0, 8198.0, 5080.0, 6423.0
50.0, 61.0, 175925.0, 10263.0, 1182.0, 5634.0, 2443.0, 2725.0, 1527.0, 718.0
60.0, 56.0, 495294.0, 102245.0, 65425.0, 4370.0, 14650.0, 7375.0, 7383.0, 3519.0
64.0, 41.0, 642267.0, 53900.0, 13084.0, 20113.0, 19803.0, 4809.0, 6481.0, 3055.0
83.0, 38.0, 547556.0, 14008.0, 11949.0, 20152.0, 10423.0, 10073.0, 4232.0, 4856.0
80.0, 41.0, 24450.0, 12082.0, 5350.0, 1191.0, 5337.0, 3897.0, 5092.0, 5812.0
78.0, 47.0, 472783.0, 48239.0, 15733.0, 17465.0, 9868.0, 7563.0, 7628.0, 5532.0
70.0, 61.0, 4458.0, 15440.0, 8500.0, 2754.0, 9492.0, 14436.0, 6790.0, 4091.0
54.0, 61.0, 191746.0, 12727.0, 2518.0, 4163.0, 12193.0, 4479.0, 638.0, 1655.0
57.0, 54.0, 59819.0, 19088.0, 7472.0, 2619.0, 4184.0, 2391.0, 870.0, 1994.0
64.0, 60.0, 159301.0, 13241.0, 24844.0, 11242.0, 19691.0, 9028.0, 9991.0, 12021.0
64.0, 63.0, 11353.0, 8284.0, 4797.0, 2883.0, 6173.0, 15567.0, 5094.0, 3461.0
